id_alat,tanggal,jam,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,Latitude,Longitude
10093,2025-10-27,00:01:00,147.000,0.00,147.00,0,0.00,0.00,0.00,0.00,0,0,1,0,1,44.20,11.94,39.79,0,0
10093,2025-10-27,00:02:00,147.000,0.00,147.00,0,0.00,0.00,0.00,0.00,0,1,1,0,1,44.39,11.94,39.66,0,0
